恶臭,惡臭,通过释放臭臭的气味，在攻击的时候，有时会使对手畏缩。,發出臭氣，在攻擊的時候，有時會使對手畏縮。,通過釋放臭臭的氣味，在攻擊的時候，有時會使對手畏縮。
降雨,降雨,出场时，会将天气变为下雨。,出場時，會將天氣變為下雨。,出場時，會將天氣變為下雨。
加速,加速,每一回合速度会变快。,每一回合速度會變快。,每一回合速度會變快。
战斗盔甲,戰鬥盔甲,被坚硬的甲壳守护着，不会被对手的攻击击中要害。,被堅硬的甲殼守護著，不會被對手的攻擊擊中要害。,被堅硬的甲殼守護著，不會被對手的攻擊擊中要害。
结实,結實,即使受到对手的招式攻击，也不会被一击打倒。一击必杀的招式也没有效果。,受到對手的招式攻擊時不會被一擊打倒。一擊必殺的招式也沒有效果。,即使受到對手的招式攻擊，也不會被一擊打倒。一擊必殺的招式也沒有效果。
湿气,濕氣,通过把周围都弄湿，使谁都无法使用自爆等爆炸类的招式。,透過把周圍都弄濕，使誰都無法使用自爆等爆炸類的招式。,通過把周圍都弄濕，使誰都無法使用自爆等爆炸類的招式。
柔软,柔軟,因为身体柔软，不会变为麻痹状态。,因為身體柔軟，不會陷入麻痺狀態。,因為身體柔軟，不會變為麻痺狀態。
沙隐,沙隱,在沙暴的时候，闪避率会提高。,在沙暴中閃避率會提高。,在沙暴的時候，閃避率會提高。
静电,靜電,身上带有静电，有时会让接触到的对手麻痹。,身上帶有靜電，有時會令接觸到的對手麻痺。,身上帶有靜電，有時會讓接觸到的對手麻痺。
蓄电,蓄電,受到电属性的招式攻击时，不会受到伤害，而是会回复。,受到電屬性的招式攻擊時，不會受到傷害，而是會回復。,受到電屬性的招式攻擊時，不會受到傷害，而是會回復。
储水,儲水,受到水属性的招式攻击时，不会受到伤害，而是会回复。,受到水屬性的招式攻擊時，不會受到傷害，而是會回復。,受到水屬性的招式攻擊時，不會受到傷害，而是會回復。
迟钝,遲鈍,因为感觉迟钝，不会变为着迷和被挑衅状态。,感覺遲鈍，不會陷入著迷和被挑釁狀態。,因為感覺遲鈍，不會變為著迷和被挑釁狀態。
无关天气,無關天氣,任何天气的影响都会消失。,任何天氣的影響都會消失。,任何天氣的影響都會消失。
复眼,複眼,因为拥有复眼，招式的命中率会提高。,因為擁有複眼，會提高招式的命中率。,因為擁有複眼，招式的命中率會提高。
不眠,不眠,因为是不会睡觉的体质，所以不会变为睡眠状态。,因為擁有不會睡覺的體質，所以不會陷入睡眠狀態。,因為是不會睡覺的體質，所以不會變為睡眠狀態。
变色,變色,自己的属性会变为从对手处所受招式的属性。,自己的屬性會變為從對手所受招式的屬性。,自己的屬性會變為從對手處所受招式的屬性。
免疫,免疫,因为体内拥有免疫能力，不会变为中毒状态。,因為體內擁有免疫能力，不會陷入中毒狀態。,因為體內擁有免疫能力，不會變為中毒狀態。
引火,引火,受到火属性的招式攻击时，吸收火焰，自己使出的火属性招式会变强。,受到火屬性的招式攻擊時，吸收火焰，讓自己使出的火屬性招式變強。,受到火屬性的招式攻擊時，吸收火焰，自己使出的火屬性招式會變強。
