龍遁,龙神俯冲（招式）
龙翔潜底,龙神俯冲（招式）
龙之冲锋,龙神俯冲（招式）
龙神俯冲,龙神俯冲（招式）
ドラゴンダイブ,龙神俯冲（招式）
Dragon Rush,龙神俯冲（招式）
神龙俯冲,龙神俯冲（招式）
Dragon Skull,龙的骸骨（道具）
ドラゴンのホネ,龙的骸骨（道具）
龙的骸骨,龙的骸骨（道具）
龙骨（道具）,龙的骸骨（道具）
龙波动,龙波动（招式）
りゅうのはどう,龙波动（招式）
谦炼/神奇宝贝,黑连/宝可梦
蛛丝（状态）,黑色眼光（状态）
スカイスキン,飛行皮膚（特性）
Aerilate,飛行皮膚（特性）
カゴのみ,零馀果（道具）
Chesto Berry,零馀果（道具）
涩栗,零馀果（道具）
涩栗果,零馀果（道具）
隐形眼镜盒,隱形眼鏡盒（道具）
レンズケース,隱形眼鏡盒（道具）
Lens Case,隱形眼鏡盒（道具）
酸浆果,酸浆果（道具）
退缩（信长的野望）,退缩（状态）
畏惧,退缩（状态）
ひるむ,退缩（状态）
Flinch,退缩（状态）
畏缩,退缩（状态）
辣椒果,辣椒果（道具）
豌豆果,豌豆果（道具）
萝卜果,萝卜果（道具）
茄果,茄果（道具）
苦瓜果,苦瓜果（道具）
花生果,花生果（道具）
茸茸羊 (心金&魂银 42),绵绵（L1）
精神击破（信长的野望）,精神破坏（旁支系列）
秋葵果,秋葵果（道具）
神奇宝贝章回数列表,神奇宝贝（穴久保幸作作品）回数列表
宝可梦收藏家 (心金&魂银 97),神奇宝贝收藏家（TCG）
磁悬浮通行证,磁懸浮通行証（道具）
异次元圆洞,異次元洞（招式）
超空間蟲洞（招式）,異次元洞（招式）
特别剧情,特殊剧情
假指控（状态）,無理取鬧（状态）
洋葱果,洋葱果（道具）
すなあらし,沙雹（天气）
轻身,杂技（特性）
走钢丝,杂技（特性）
杂技,杂技（特性）
活力碎片（基本集合 89）,更生剂（TCG）
哞哞鲜奶 (魂银收集 66),摩摩牛奶（TCG）
パートナーポケモン,搭档宝可梦
Partner Pokémon,搭档宝可梦
拉克爾,拉凯尔
Prison Bottle,懲戒之壺（道具）
いましめのツボ,懲戒之壺（道具）
懲戒之壺,懲戒之壺（道具）
束缚之壶（道具）,懲戒之壺（道具）
束縛之壺,懲戒之壺（道具）
恶梦特性,恶梦（特性）
噩梦,恶梦（特性）
フラダリラボ,弗拉達利研究所
強蜀實驗室,弗拉達利研究所
Lysandre Labs,弗拉達利研究所
小甲,弗多多
幽靈（神奇寶貝）,幽靈（宝可梦）
Energy Powder,干劲粉（道具）
ちからのこな,干劲粉（道具）
EnergyPowder,干劲粉（道具）
元气之粉,干劲粉（道具）
力之粉,干劲粉（道具）
元气根,干劲根（道具）
ちからのねっこ,干劲根（道具）
Energy Root,干劲根（道具）
元气之根,干劲根（道具）
力之根,干劲根（道具）
濃霧高原,尼贝尔高原
Pokeblock Kit,宝可方块组合（道具）
Pokéblock Kit,宝可方块组合（道具）
ポロックキット,宝可方块组合（道具）
能量方块组合,宝可方块组合（道具）
神奇宝贝币,宝可币
扑克币,宝可币
神奇宝贝元,宝可币
大蒜果,大蒜果（道具）
Oak』s Letter,大木博士的信（道具）
神奇寶貝週刊放送局動畫列表,周刊精灵宝可梦放送局動畫列表
周刊神奇寶貝放送局動畫列表,周刊精灵宝可梦放送局動畫列表
神奇寶貝周刊放送局動畫列表,周刊精灵宝可梦放送局動畫列表
南瓜果,南瓜果（道具）
升级能量 (时间尽头的羁绊 84),升级数据能量（TCG）
升级能量 (Pt 强劲对手 102),升级数据能量（TCG）
坚硬头盔（道具）,凹凸头盔（道具）
凹凸头盔,凹凸头盔（道具）
ゴツゴツメット,凹凸头盔（道具）
岩石安全帽,凹凸头盔（道具）
たくわえる,储存（招式）
Stockpile,储存（招式）
能量储存,储存（招式）
储存,储存（招式）
保姆虫 (BW 华贵胜利 3),保母虫（BW3）
スキルスワップ,交换绝招（招式）
Skill Swap,交换绝招（招式）
交换绝招,交换绝招（招式）
