拍击,拍擊,使用长长的尾巴或手等拍打对手进行攻击。,使用長長的尾巴或手等拍打對手進行攻擊。,使用長長的尾巴或手等拍打對手進行攻擊。
空手劈,空手劈,用锋利的手刀劈向对手进行攻击。容易击中要害。,用鋒利的手刀劈向對手進行攻擊。容易擊中要害。,用鋒利的手刀劈向對手進行攻擊。容易擊中要害。
连环巴掌,連環巴掌,用连环巴掌拍打对手进行攻击。连续攻击２～５次。,用連環巴掌拍打對手進行攻擊。會連續攻擊２～５次。,用連環巴掌拍打對手進行攻擊。連續攻擊２～５次。
连续拳,連續拳,用拳头怒涛般的殴打对手进行攻击。连续攻击２～５次。,用怒濤般的拳頭毆打對手進行攻擊。連續攻擊２～５次。,用拳頭怒濤般的毆打對手進行攻擊。連續攻擊２～５次。
百万吨重拳,百萬噸重拳,用充满力量的拳头攻击对手。,用帶有強大力量的拳頭攻擊對手。,用充滿力量的拳頭攻擊對手。
聚宝功,聚寶功,向对手的身体投掷小金币进行攻击。战斗后可以拿到钱。,往對手身上投擲金幣進行攻擊。戰鬥後可以得到錢。,向對手的身體投擲小金幣進行攻擊。戰鬥後可以拿到錢。
火焰拳,火焰拳,用充满火焰的拳头攻击对手。有时会让对手陷入灼伤状态。,用帶有火焰的拳頭攻擊對手。有時會讓對手陷入灼傷狀態。,用充滿火焰的拳頭攻擊對手。有時會讓對手陷入灼傷狀態。
冰冻拳,冰凍拳,用充满寒气的拳头攻击对手。有时会让对手陷入冰冻状态。,用帶有寒氣的拳頭攻擊對手。有時會讓對手陷入冰凍狀態。,用充滿寒氣的拳頭攻擊對手。有時會讓對手陷入冰凍狀態。
雷电拳,雷電拳,用充满电流的拳头攻击对手。有时会让对手陷入麻痹状态。,用帶有電流的拳頭攻擊對手。有時會讓對手陷入麻痺狀態。,用充滿電流的拳頭攻擊對手。有時會讓對手陷入麻痺狀態。
抓,抓,用坚硬且无比锋利的爪子抓对手进行攻击。,用堅硬且無比鋒利的爪子抓對手進行攻擊。,用堅硬且無比鋒利的爪子抓對手進行攻擊。
夹住,夾住,将对手从两侧夹住，给予伤害。,從兩側夾住對手，給予傷害。,將對手從兩側夾住，給予傷害。
断头钳,斷頭鉗,用大钳子或剪刀等夹断对手进行攻击。只要命中就会一击濒死。,用巨大的鉗子或剪刀等撕裂對手進行攻擊。只要命中就會一擊瀕死。,用大鉗子或剪刀等夾斷對手進行攻擊。只要命中就會一擊瀕死。
旋风刀,旋風刀,制造风之刃，于第２回合攻击对手。容易击中要害。,製造出風之刃，在下一回合攻擊對手。容易擊中要害。,製造風之刃，於第２回合攻擊對手。容易擊中要害。
剑舞,劍舞,激烈地跳起战舞提高气势。大幅提高自己的攻击。,激烈地跳起戰舞提升氣勢。大幅提高自己的攻擊。,激烈地跳起戰舞提高氣勢。大幅提高自己的攻擊。
居合斩,居合斬,用镰刀或爪子等切斩对手进行攻击。,用鐮刀或爪子等斬切對手進行攻擊。,用鐮刀或爪子等切斬對手進行攻擊。
起风,起風,用翅膀将刮起的狂风袭向对手进行攻击。,用翅膀刮起狂風，吹向對手進行攻擊。,用翅膀將颳起的狂風襲向對手進行攻擊。
翅膀攻击,翅膀攻擊,大大地展开美丽的翅膀，将其撞向对手进行攻击。,用大大伸展開來的美麗翅膀，撞向對手進行攻擊。,大大地展開美麗的翅膀，將其撞向對手進行攻擊。
吹飞,吹飛,吹飞对手，强制拉后备宝可梦上场。如果对手为野生宝可梦，战斗将直接结束。,吹飛對手，強制讓後備寶可夢上場。對手為野生寶可夢時，戰鬥將直接結束。,吹飛對手，強制拉後備寶可夢上場。如果對手為野生寶可夢，戰鬥將直接結束。
飞翔,飛翔,第１回合飞上天空，第２回合攻击对手。,使用後的第１回合飛上天空，並於第２回合攻擊對手。,第１回合飛上天空，第２回合攻擊對手。
绑紧,綁緊,使用长长的身体或藤蔓等，在４～５回合内绑紧对手进行攻击。,使用長長的身體或藤蔓等，在４～５回合內綁緊對手進行攻擊。,使用長長的身體或藤蔓等，在４～５回合內綁緊對手進行攻擊。
