A strange seed was planted on its back at birth. The plant sprouts and grows with this Pokémon.	For some time after its birth, it grows by gaining nourishment from the seed on its back.		redbluedex leafgreendex	dpptdex bwdex b2w2dex	
There is a plant bulb on its back. When it absorbs nurtients, the bulb is said to blossom into a large flower.	When the bud on its back starts swelling, a sweet aroma wafts to indicate the flower's coming bloom.			dpptdex bwdex b2w2dex	
By spreading the broad petals of its flower and catching the sun's rays, it fills its body with power.	After a rainy day, the flower on its back smells stronger. The scent attracts other Pokémon.		golddex stadium2dex heartgolddex	dpptdex bwdex b2w2dex	
The flame on its tail indicates Charmander's life force. If it is healthy, the flame burns brightly.	From the time it is born, a flame burns at the tip of its tail. Its life would end if the flame were to go out.		silverdex soulsilverdex	firereddex	
It lashes about with its tail to knock down its foe. It then tears up the fallen opponent with sharp claws.	When it swings its burning tail, it elevates the air temperature to unbearably high levels.		firereddex	leafgreendex	
When expelling a blast of superhot fire, the red flame at the tip of its tail burns more intensely.	Its wings can carry this Pokémon close to an altitude of 4,600 feet. It blows out fire at very high temperatures.				
It shelters itself in its shell, then strikes back with spouts of water at every opportunity.	Shoots water at prey while in the water. Withdraws into its shell when in danger.		dpptdex bwdex b2w2dex		
When tapped, this Pokémon will pull in its head, but its tail will still stick out a little bit.	It is said to live 10,000 years. Its furry tail is popular as a symbol of longevity.		yellowdex	dpptdex bwdex b2w2dex	
It crushes its foe under its heavy body to cause fainting. In a pinch, it will withdraw inside its shell.	The pressurized water jets on this brutal Pokémon's shell are used for high-speed tackles.			leafgreendex	
For protection, it releases a horrible stench from the antennae on its head to drive away enemies.	Its feet have suction cups designed to stick to any surface. It tenaciously climbs trees to forage.		golddex stadium2dex heartgolddex	silverdex soulsilverdex	
A steel-hard shell protects its tender body. It quietly endures hardships while awaiting evolution.	This Pokémon is vulnerable to attack while its shell is soft, exposing its weak and tender body.		dpptdex bwdex b2w2dex	redbluedex leafgreendex	
It loves the honey of flowers and can locate flower patches that have even tiny amounts of pollen.	The wings are protected by rain-repellent dust. As a result, this Pokémon can fly about even in rain.		dpptdex bwdex b2w2dex		
Often found in forests and grasslands. It has a sharp, toxic barb of around two inches on top of its head.	Its poison stinger is very powerful. Its bright-colored body is intended to warn off its enemies.			stadium2dex heartgolddex	
Almost incapable of moving, this Pokémon can only harden its shell to protect itself when it is in danger.	While awaiting evolution, it hides from predators under leaves and in nooks of branches.		leafgreendex	dpptdex bwdex b2w2dex	
It has three poisonous stingers on its forelegs and its tail. They are used to jab its enemy repeatedly.	May appear in a swarm. Flies at violent speeds, all the while stabbing with the toxic stinger on its rear.			firereddex	
A common sight in forests and woods. It flaps its wings at ground level to kick up blinding sand.	It is docile and prefers to avoid conflict. If disturbed, however, it can ferociously strike back.			dpptdex bwdex b2w2dex	
The claws on its feet are well developed. It can carry prey such as an Exeggcute to its nest over 60 miles away.	Very protective of its sprawling territorial area, this Pokémon will fiercely peck at any intruder.			leafgreendex	
When hunting, it skims the surface of water at high speed to pick off unwary prey such as Magikarp.	It spreads its gorgeous wings widely to intimidate enemies. It races through the skies at Mach-2 speed.		leafgreendex	firereddex	
					
					
					
