恶臭,あくしゅう,Stench
降雨,あめふらし,Drizzle
加速,かそく,Speed Boost
战斗盔甲,カブトアーマー,Battle Armor
结实,がんじょう,Sturdy
湿气,しめりけ,Damp
柔软,じゅうなん,Limber
沙隐,すながくれ,Sand Veil
静电,せいでんき,Static
蓄电,ちくでん,Volt Absorb
储水,ちょすい,Water Absorb
迟钝,どんかん,Oblivious
无关天气,ノーてんき,Cloud Nine
复眼,ふくがん,Compound Eyes
不眠,ふみん,Insomnia
变色,へんしょく,Color Change
免疫,めんえき,Immunity
引火,もらいび,Flash Fire
鳞粉,りんぷん,Shield Dust
我行我素,マイペース,Own Tempo
吸盘,きゅうばん,Suction Cups
威吓,いかく,Intimidate
踩影,かげふみ,Shadow Tag
粗糙皮肤,さめはだ,Rough Skin
神奇守护,ふしぎなまもり,Wonder Guard
飘浮,ふゆう,Levitate
孢子,ほうし,Effect Spore
同步,シンクロ,Synchronize
恒净之躯,クリアボディ,Clear Body
自然回复,しぜんかいふく,Natural Cure
避雷针,ひらいしん,Lightning Rod
天恩,てんのめぐみ,Serene Grace
悠游自如,すいすい,Swift Swim
叶绿素,ようりょくそ,Chlorophyll
发光,はっこう,Illuminate
复制,トレース,Trace
大力士,ちからもち,Huge Power
毒刺,どくのトゲ,Poison Point
精神力,せいしんりょく,Inner Focus
熔岩铠甲,マグマのよろい,Magma Armor
水幕,みずのベール,Water Veil
磁力,じりょく,Magnet Pull
隔音,ぼうおん,Soundproof
雨盘,あめうけざら,Rain Dish
扬沙,すなおこし,Sand Stream
压迫感,プレッシャー,Pressure
厚脂肪,あついしぼう,Thick Fat
早起,はやおき,Early Bird
火焰之躯,ほのおのからだ,Flame Body
逃跑,にげあし,Run Away
锐利目光,するどいめ,Keen Eye
怪力钳,かいりきバサミ,Hyper Cutter
捡拾,ものひろい,Pickup
懒惰,なまけ,Truant
活力,はりきり,Hustle
迷人之躯,メロメロボディ,Cute Charm
正电,プラス,Plus
负电,マイナス,Minus
阴晴不定,てんきや,Forecast
黏着,ねんちゃく,Sticky Hold
蜕皮,だっぴ,Shed Skin
毅力,こんじょう,Guts
神奇鳞片,ふしぎなうろこ,Marvel Scale
污泥浆,ヘドロえき,Liquid Ooze
茂盛,しんりょく,Overgrow
猛火,もうか,Blaze
激流,げきりゅう,Torrent
虫之预感,むしのしらせ,Swarm
坚硬脑袋,いしあたま,Rock Head
日照,ひでり,Drought
沙穴,ありじごく,Arena Trap
干劲,やるき,Vital Spirit
白色烟雾,しろいけむり,White Smoke
瑜伽之力,ヨガパワー,Pure Power
硬壳盔甲,シェルアーマー,Shell Armor
气闸,エアロック,Air Lock
蹒跚,ちどりあし,Tangled Feet
电气引擎,でんきエンジン,Motor Drive
斗争心,とうそうしん,Rivalry
不屈之心,ふくつのこころ,Steadfast
雪隐,ゆきがくれ,Snow Cloak
贪吃鬼,くいしんぼう,Gluttony
愤怒穴位,いかりのつぼ,Anger Point
轻装,かるわざ,Unburden
耐热,たいねつ,Heatproof
单纯,たんじゅん,Simple
干燥皮肤,かんそうはだ,Dry Skin
下载,ダウンロード,Download
铁拳,てつのこぶし,Iron Fist
毒疗,ポイズンヒール,Poison Heal
适应力,てきおうりょく,Adaptability
连续攻击,スキルリンク,Skill Link
湿润之躯,うるおいボディ,Hydration
太阳之力,サンパワー,Solar Power
飞毛腿,はやあし,Quick Feet
一般皮肤,ノーマルスキン,Normalize
狙击手,スナイパー,Sniper
魔法防守,マジックガード,Magic Guard
无防守,ノーガード,No Guard
慢出,あとだし,Stall
技术高手,テクニシャン,Technician
叶子防守,リーフガード,Leaf Guard
笨拙,ぶきよう,Klutz
破格,かたやぶり,Mold Breaker
超幸运,きょううん,Super Luck
引爆,ゆうばく,Aftermath
危险预知,きけんよち,Anticipation
预知梦,よちむ,Forewarn
纯朴,てんねん,Unaware
有色眼镜,いろめがね,Tinted Lens
过滤,フィルター,Filter
慢启动,スロースタート,Slow Start
胆量,きもったま,Scrappy
引水,よびみず,Storm Drain
冰冻之躯,アイスボディ,Ice Body
坚硬岩石,ハードロック,Solid Rock
降雪,ゆきふらし,Snow Warning
采蜜,みつあつめ,Honey Gather
察觉,おみとおし,Frisk
舍身,すてみ,Reckless
多属性,マルチタイプ,Multitype
花之礼,フラワーギフト,Flower Gift
梦魇,ナイトメア,Bad Dreams
顺手牵羊,わるいてぐせ,Pickpocket
强行,ちからずく,Sheer Force
唱反调,あまのじゃく,Contrary
紧张感,きんちょうかん,Unnerve
不服输,まけんき,Defiant
软弱,よわき,Defeatist
诅咒之躯,のろわれボディ,Cursed Body
治愈之心,いやしのこころ,Healer
友情防守,フレンドガード,Friend Guard
碎裂铠甲,くだけるよろい,Weak Armor
重金属,ヘヴィメタル,Heavy Metal
轻金属,ライトメタル,Light Metal
多重鳞片,マルチスケイル,Multiscale
中毒激升,どくぼうそう,Toxic Boost
受热激升,ねつぼうそう,Flare Boost
收获,しゅうかく,Harvest
心灵感应,テレパシー,Telepathy
心情不定,ムラっけ,Moody
防尘,ぼうじん,Overcoat
毒手,どくしゅ,Poison Touch
再生力,さいせいりょく,Regenerator
健壮胸肌,はとむね,Big Pecks
拨沙,すなかき,Sand Rush
奇迹皮肤,ミラクルスキン,Wonder Skin
分析,アナライズ,Analytic
幻觉,イリュージョン,Illusion
变身者,かわりもの,Imposter
穿透,すりぬけ,Infiltrator
木乃伊,ミイラ,Mummy
自信过度,じしんかじょう,Moxie
正义之心,せいぎのこころ,Justified
胆怯,びびり,Rattled
魔法镜,マジックミラー,Magic Bounce
食草,そうしょく,Sap Sipper
恶作剧之心,いたずらごころ,Prankster
沙之力,すなのちから,Sand Force
铁刺,てつのトゲ,Iron Barbs
达摩模式,ダルマモード,Zen Mode
胜利之星,しょうりのほし,Victory Star
涡轮火焰,ターボブレイズ,Turboblaze
兆级电压,テラボルテージ,Teravolt
芳香幕,アロマベール,Aroma Veil
花幕,フラワーベール,Flower Veil
颊囊,ほおぶくろ,Cheek Pouch
变幻自如,へんげんじざい,Protean
毛皮大衣,ファーコート,Fur Coat
魔术师,マジシャン,Magician
防弹,ぼうだん,Bulletproof
好胜,かちき,Competitive
强壮之颚,がんじょうあご,Strong Jaw
冰冻皮肤,フリーズスキン,Refrigerate
甜幕,スイートベール,Sweet Veil
战斗切换,バトルスイッチ,Stance Change
疾风之翼,はやてのつばさ,Gale Wings
超级发射器,メガランチャー,Mega Launcher
草之毛皮,くさのけがわ,Grass Pelt
共生,きょうせい,Symbiosis
硬爪,かたいツメ,Tough Claws
妖精皮肤,フェアリースキン,Pixilate
黏滑,ぬめぬめ,Gooey
飞行皮肤,スカイスキン,Aerilate
亲子爱,おやこあい,Parental Bond
暗黑气场,ダークオーラ,Dark Aura
妖精气场,フェアリーオーラ,Fairy Aura
气场破坏,オーラブレイク,Aura Break
始源之海,はじまりのうみ,Primordial Sea
终结之地,おわりのだいち,Desolate Land
德尔塔气流,デルタストリーム,Delta Stream
持久力,じきゅうりょく,Stamina
跃跃欲逃,にげごし,Wimp Out
危险回避,ききかいひ,Emergency Exit
遇水凝固,みずがため,Water Compaction
不仁不义,ひとでなし,Merciless
界限盾壳,リミットシールド,Shields Down
蹲守,はりこみ,Stakeout
水泡,すいほう,Water Bubble
钢能力者,はがねつかい,Steelworker
怒火冲天,ぎゃくじょう,Berserk
拨雪,ゆきかき,Slush Rush
远隔,えんかく,Long Reach
湿润之声,うるおいボイス,Liquid Voice
先行治疗,ヒーリングシフト,Triage
电气皮肤,エレキスキン,Galvanize
冲浪之尾,サーフテール,Surge Surfer
鱼群,ぎょぐん,Schooling
画皮,ばけのかわ,Disguise
牵绊变身,きずなへんげ,Battle Bond
群聚变形,スワームチェンジ,Power Construct
腐蚀,ふしょく,Corrosion
绝对睡眠,ぜったいねむり,Comatose
女王的威严,じょおうのいげん,Queenly Majesty
飞出的内在物,とびだすなかみ,Innards Out
舞者,おどりこ,Dancer
蓄电池,バッテリー,Battery
毛茸茸,もふもふ,Fluffy
鲜艳之躯,ビビッドボディ,Dazzling
魂心,ソウルハート,Soul-Heart
卷发,カーリーヘアー,Tangling Hair
接球手,レシーバー,Receiver
化学之力,かがくのちから,Power of Alchemy
异兽提升,ビーストブースト,Beast Boost
ＡＲ系统,ＡＲシステム,RKS System
电气制造者,エレキメイカー,Electric Surge
精神制造者,サイコメイカー,Psychic Surge
薄雾制造者,ミストメイカー,Misty Surge
青草制造者,グラスメイカー,Grassy Surge
金属防护,メタルプロテクト,Full Metal Body
幻影防守,ファントムガード,Shadow Shield
棱镜装甲,プリズムアーマー,Prism Armor
