、无,なし,None
大师球,マスターボール,Master Ball
高级球,ハイパーボール,Ultra Ball
超级球,スーパーボール,Great Ball
精灵球,モンスターボール,Poké Ball
狩猎球,サファリボール,Safari Ball
捕网球,ネットボール,Net Ball
潜水球,ダイブボール,Dive Ball
巢穴球,ネストボール,Nest Ball
重复球,リピートボール,Repeat Ball
计时球,タイマーボール,Timer Ball
豪华球,ゴージャスボール,Luxury Ball
纪念球,プレミアボール,Premier Ball
黑暗球,ダークボール,Dusk Ball
治愈球,ヒールボール,Heal Ball
先机球,クイックボール,Quick Ball
贵重球,プレシャスボール,Cherish Ball
伤药,キズぐすり,Potion
解毒药,どくけし,Antidote
灼伤药,やけどなおし,Burn Heal
解冻药,こおりなおし,Ice Heal
解眠药,ねむけざまし,Awakening
解麻药,まひなおし,Paralyze Heal
全复药,かいふくのくすり,Full Restore
全满药,まんたんのくすり,Max Potion
厉害伤药,すごいキズぐすり,Hyper Potion
好伤药,いいキズぐすり,Super Potion
万灵药,なんでもなおし,Full Heal
活力碎片,げんきのかけら,Revive
活力块,げんきのかたまり,Max Revive
美味之水,おいしいみず,Fresh Water
劲爽汽水,サイコソーダ,Soda Pop
果汁牛奶,ミックスオレ,Lemonade
哞哞鲜奶,モーモーミルク,Moomoo Milk
元气粉,ちからのこな,Energy Powder
元气根,ちからのねっこ,Energy Root
万能粉,ばんのうごな,Heal Powder
复活草,ふっかつそう,Revival Herb
ＰＰ单项小补剂,ピーピーエイド,Ether
ＰＰ单项全补剂,ピーピーリカバー,Max Ether
ＰＰ多项小补剂,ピーピーエイダー,Elixir
ＰＰ多项全补剂,ピーピーマックス,Max Elixir
釜炎仙贝,フエンせんべい,Lava Cookie
树果汁,きのみジュース,Berry Juice
圣灰,せいなるはい,Sacred Ash
ＨＰ增强剂,マックスアップ,HP Up
攻击增强剂,タウリン,Protein
防御增强剂,ブロムヘキシン,Iron
速度增强剂,インドメタシン,Carbos
特攻增强剂,リゾチウム,Calcium
神奇糖果,ふしぎなアメ,Rare Candy
ＰＰ提升剂,ポイントアップ,PP Up
特防增强剂,キトサン,Zinc
ＰＰ极限提升剂,ポイントマックス,PP Max
森之羊羹,もりのヨウカン,Old Gateau
能力防守,エフェクトガード,Guard Spec.
要害攻击,クリティカット,Dire Hit
力量强化,プラスパワー,X Attack
防御强化,ディフェンダー,X Defense
速度强化,スピーダー,X Speed
命中强化,ヨクアタール,X Accuracy
特攻强化,スペシャルアップ,X Sp. Atk
特防强化,スペシャルガード,X Sp. Def
皮皮玩偶,ピッピにんぎょう,Poké Doll
向尾喵的尾巴,エネコのシッポ,Fluffy Tail
蓝色玻璃哨,あおいビードロ,Blue Flute
黄色玻璃哨,きいろビードロ,Yellow Flute
红色玻璃哨,あかいビードロ,Red Flute
黑色玻璃哨,くろいビードロ,Black Flute
白色玻璃哨,しろいビードロ,White Flute
浅滩海盐,あさせのしお,Shoal Salt
浅滩贝壳,あさせのかいがら,Shoal Shell
红色碎片,あかいかけら,Red Shard
蓝色碎片,あおいかけら,Blue Shard
黄色碎片,きいろいかけら,Yellow Shard
绿色碎片,みどりのかけら,Green Shard
白银喷雾,シルバースプレー,Super Repel
黄金喷雾,ゴールドスプレー,Max Repel
离洞绳,あなぬけのヒモ,Escape Rope
除虫喷雾,むしよけスプレー,Repel
日之石,たいようのいし,Sun Stone
月之石,つきのいし,Moon Stone
火之石,ほのおのいし,Fire Stone
雷之石,かみなりのいし,Thunder Stone
水之石,みずのいし,Water Stone
叶之石,リーフのいし,Leaf Stone
小蘑菇,ちいさなキノコ,Tiny Mushroom
大蘑菇,おおきなキノコ,Big Mushroom
珍珠,しんじゅ,Pearl
大珍珠,おおきなしんじゅ,Big Pearl
星星沙子,ほしのすな,Stardust
星星碎片,ほしのかけら,Star Piece
金珠,きんのたま,Nugget
心之鳞片,ハートのウロコ,Heart Scale
甜甜蜜,あまいミツ,Honey
速速肥,すくすくこやし,Growth Mulch
湿湿肥,じめじめこやし,Damp Mulch
久久肥,ながながこやし,Stable Mulch
粘粘肥,ねばねばこやし,Gooey Mulch
根状化石,ねっこのカセキ,Root Fossil
爪子化石,ツメのカセキ,Claw Fossil
贝壳化石,かいのカセキ,Helix Fossil
甲壳化石,こうらのカセキ,Dome Fossil
秘密琥珀,ひみつのコハク,Old Amber
盾甲化石,たてのカセキ,Armor Fossil
头盖化石,ずがいのカセキ,Skull Fossil
贵重骨头,きちょうなホネ,Rare Bone
光之石,ひかりのいし,Shiny Stone
暗之石,やみのいし,Dusk Stone
觉醒之石,めざめいし,Dawn Stone
浑圆之石,まんまるいし,Oval Stone
楔石,かなめいし,Odd Keystone
