拍击,はたく,Pound
空手劈,からてチョップ,Karate Chop
连环巴掌,おうふくビンタ,Double Slap
连续拳,れんぞくパンチ,Comet Punch
百万吨重拳,メガトンパンチ,Mega Punch
聚宝功,ネコにこばん,Pay Day
火焰拳,ほのおのパンチ,Fire Punch
冰冻拳,れいとうパンチ,Ice Punch
雷电拳,かみなりパンチ,Thunder Punch
抓,ひっかく,Scratch
夹住,はさむ,Vice Grip
断头钳,ハサミギロチン,Guillotine
旋风刀,かまいたち,Razor Wind
剑舞,つるぎのまい,Swords Dance
居合斩,いあいぎり,Cut
起风,かぜおこし,Gust
翅膀攻击,つばさでうつ,Wing Attack
吹飞,ふきとばし,Whirlwind
飞翔,そらをとぶ,Fly
绑紧,しめつける,Bind
摔打,たたきつける,Slam
藤鞭,つるのムチ,Vine Whip
踩踏,ふみつけ,Stomp
二连踢,にどげり,Double Kick
百万吨重踢,メガトンキック,Mega Kick
飞踢,とびげり,Jump Kick
回旋踢,まわしげり,Rolling Kick
泼沙,すなかけ,Sand Attack
头锤,ずつき,Headbutt
角撞,つのでつく,Horn Attack
乱击,みだれづき,Fury Attack
角钻,つのドリル,Horn Drill
撞击,たいあたり,Tackle
泰山压顶,のしかかり,Body Slam
紧束,まきつく,Wrap
猛撞,とっしん,Take Down
大闹一番,あばれる,Thrash
舍身冲撞,すてみタックル,Double-Edge
摇尾巴,しっぽをふる,Tail Whip
毒针,どくばり,Poison Sting
双针,ダブルニードル,Twineedle
飞弹针,ミサイルばり,Pin Missile
瞪眼,にらみつける,Leer
咬住,かみつく,Bite
叫声,なきごえ,Growl
吼叫,ほえる,Roar
唱歌,うたう,Sing
超音波,ちょうおんぱ,Supersonic
音爆,ソニックブーム,Sonic Boom
定身法,かなしばり,Disable
溶解液,ようかいえき,Acid
火花,ひのこ,Ember
喷射火焰,かえんほうしゃ,Flamethrower
白雾,しろいきり,Mist
水枪,みずでっぽう,Water Gun
水炮,ハイドロポンプ,Hydro Pump
冲浪,なみのり,Surf
冰冻光束,れいとうビーム,Ice Beam
暴风雪,ふぶき,Blizzard
幻象光线,サイケこうせん,Psybeam
泡沫光线,バブルこうせん,Bubble Beam
极光束,オーロラビーム,Aurora Beam
破坏光线,はかいこうせん,Hyper Beam
啄,つつく,Peck
啄钻,ドリルくちばし,Drill Peck
地狱翻滚,じごくぐるま,Submission
踢倒,けたぐり,Low Kick
双倍奉还,カウンター,Counter
地球上投,ちきゅうなげ,Seismic Toss
怪力,かいりき,Strength
吸取,すいとる,Absorb
超级吸取,メガドレイン,Mega Drain
寄生种子,やどりぎのタネ,Leech Seed
生长,せいちょう,Growth
飞叶快刀,はっぱカッター,Razor Leaf
日光束,ソーラービーム,Solar Beam
毒粉,どくのこな,Poison Powder
麻痹粉,しびれごな,Stun Spore
催眠粉,ねむりごな,Sleep Powder
花瓣舞,はなびらのまい,Petal Dance
吐丝,いとをはく,String Shot
龙之怒,りゅうのいかり,Dragon Rage
火焰旋涡,ほのおのうず,Fire Spin
电击,でんきショック,Thunder Shock
十万伏特,１０まんボルト,Thunderbolt
电磁波,でんじは,Thunder Wave
打雷,かみなり,Thunder
落石,いわおとし,Rock Throw
