蛋,タマゴ,Egg
妙蛙种子,フシギダネ,Bulbasaur
妙蛙草,フシギソウ,Ivysaur
妙蛙花,フシギバナ,Venusaur
小火龙,ヒトカゲ,Charmander
火恐龙,リザード,Charmeleon
喷火龙,リザードン,Charizard
杰尼龟,ゼニガメ,Squirtle
卡咪龟,カメール,Wartortle
水箭龟,カメックス,Blastoise
绿毛虫,キャタピー,Caterpie
铁甲蛹,トランセル,Metapod
巴大蝶,バタフリー,Butterfree
独角虫,ビードル,Weedle
铁壳蛹,コクーン,Kakuna
大针蜂,スピアー,Beedrill
波波,ポッポ,Pidgey
比比鸟,ピジョン,Pidgeotto
大比鸟,ピジョット,Pidgeot
小拉达,コラッタ,Rattata
拉达,ラッタ,Raticate
烈雀,オニスズメ,Spearow
大嘴雀,オニドリル,Fearow
阿柏蛇,アーボ,Ekans
阿柏怪,アーボック,Arbok
皮卡丘,ピカチュウ,Pikachu
雷丘,ライチュウ,Raichu
穿山鼠,サンド,Sandshrew
穿山王,サンドパン,Sandslash
尼多兰,ニドラン♀,Nidoran♀
尼多娜,ニドリーナ,Nidorina
尼多后,ニドクイン,Nidoqueen
尼多朗,ニドラン♂,Nidoran♂
尼多力诺,ニドリーノ,Nidorino
尼多王,ニドキング,Nidoking
皮皮,ピッピ,Clefairy
皮可西,ピクシー,Clefable
六尾,ロコン,Vulpix
九尾,キュウコン,Ninetales
胖丁,プリン,Jigglypuff
胖可丁,プクリン,Wigglytuff
超音蝠,ズバット,Zubat
大嘴蝠,ゴルバット,Golbat
走路草,ナゾノクサ,Oddish
臭臭花,クサイハナ,Gloom
霸王花,ラフレシア,Vileplume
派拉斯,パラス,Paras
派拉斯特,パラセクト,Parasect
毛球,コンパン,Venonat
摩鲁蛾,モルフォン,Venomoth
地鼠,ディグダ,Diglett
三地鼠,ダグトリオ,Dugtrio
喵喵,ニャース,Meowth
猫老大,ペルシアン,Persian
可达鸭,コダック,Psyduck
哥达鸭,ゴルダック,Golduck
猴怪,マンキー,Mankey
火暴猴,オコリザル,Primeape
卡蒂狗,ガーディ,Growlithe
风速狗,ウインディ,Arcanine
蚊香蝌蚪,ニョロモ,Poliwag
蚊香君,ニョロゾ,Poliwhirl
蚊香泳士,ニョロボン,Poliwrath
凯西,ケーシィ,Abra
勇基拉,ユンゲラー,Kadabra
胡地,フーディン,Alakazam
腕力,ワンリキー,Machop
豪力,ゴーリキー,Machoke
怪力,カイリキー,Machamp
喇叭芽,マダツボミ,Bellsprout
口呆花,ウツドン,Weepinbell
大食花,ウツボット,Victreebel
玛瑙水母,メノクラゲ,Tentacool
毒刺水母,ドククラゲ,Tentacruel
小拳石,イシツブテ,Geodude
隆隆石,ゴローン,Graveler
隆隆岩,ゴローニャ,Golem
小火马,ポニータ,Ponyta
烈焰马,ギャロップ,Rapidash
呆呆兽,ヤドン,Slowpoke
呆壳兽,ヤドラン,Slowbro
小磁怪,コイル,Magnemite
三合一磁怪,レアコイル,Magneton
大葱鸭,カモネギ,Farfetch'd
嘟嘟,ドードー,Doduo
嘟嘟利,ドードリオ,Dodrio
小海狮,パウワウ,Seel
白海狮,ジュゴン,Dewgong
臭泥,ベトベター,Grimer
臭臭泥,ベトベトン,Muk
大舌贝,シェルダー,Shellder
刺甲贝,パルシェン,Cloyster
鬼斯,ゴース,Gastly
鬼斯通,ゴースト,Haunter
耿鬼,ゲンガー,Gengar
大岩蛇,イワーク,Onix
催眠貘,スリープ,Drowzee
引梦貘人,スリーパー,Hypno
大钳蟹,クラブ,Krabby
巨钳蟹,キングラー,Kingler
霹雳电球,ビリリダマ,Voltorb
顽皮雷弹,マルマイン,Electrode
蛋蛋,タマタマ,Exeggcute
椰蛋树,ナッシー,Exeggutor
卡拉卡拉,カラカラ,Cubone
嘎啦嘎啦,ガラガラ,Marowak
飞腿郎,サワムラー,Hitmonlee
快拳郎,エビワラー,Hitmonchan
大舌头,ベロリンガ,Lickitung
瓦斯弹,ドガース,Koffing
双弹瓦斯,マタドガス,Weezing
独角犀牛,サイホーン,Rhyhorn
钻角犀兽,サイドン,Rhydon
吉利蛋,ラッキー,Chansey
蔓藤怪,モンジャラ,Tangela
袋兽,ガルーラ,Kangaskhan
墨海马,タッツー,Horsea
海刺龙,シードラ,Seadra
角金鱼,トサキント,Goldeen
金鱼王,アズマオウ,Seaking
海星星,ヒトデマン,Staryu
宝石海星,スターミー,Starmie
魔墙人偶,バリヤード,Mr. Mime
飞天螳螂,ストライク,Scyther
迷唇姐,ルージュラ,Jynx
电击兽,エレブー,Electabuzz
鸭嘴火兽,ブーバー,Magmar
凯罗斯,カイロス,Pinsir
肯泰罗,ケンタロス,Tauros
鲤鱼王,コイキング,Magikarp
暴鲤龙,ギャラドス,Gyarados
拉普拉斯,ラプラス,Lapras
百变怪,メタモン,Ditto
伊布,イーブイ,Eevee
水伊布,シャワーズ,Vaporeon
雷伊布,サンダース,Jolteon
火伊布,ブースター,Flareon
多边兽,ポリゴン,Porygon
菊石兽,オムナイト,Omanyte
多刺菊石兽,オムスター,Omastar
化石盔,カブト,Kabuto
镰刀盔,カブトプス,Kabutops
化石翼龙,プテラ,Aerodactyl
卡比兽,カビゴン,Snorlax
急冻鸟,フリーザー,Articuno
闪电鸟,サンダー,Zapdos
火焰鸟,ファイヤー,Moltres
迷你龙,ミニリュウ,Dratini
哈克龙,ハクリュー,Dragonair
快龙,カイリュー,Dragonite
超梦,ミュウツー,Mewtwo
梦幻,ミュウ,Mew
菊草叶,チコリータ,Chikorita
月桂叶,ベイリーフ,Bayleef
大竺葵,メガニウム,Meganium
火球鼠,ヒノアラシ,Cyndaquil
火岩鼠,マグマラシ,Quilava
火暴兽,バクフーン,Typhlosion
