妙蛙种子,奇异种子
妙蛙草,奇异草
妙蛙花,奇异花
小火龙,小火龙
火恐龙,火恐龙
喷火龙,喷火龙
杰尼龟,车厘龟
卡咪龟,卡美龟
水箭龟,水箭龟
绿毛虫,绿毛虫
铁甲蛹,铁甲虫
巴大蝴,巴他蝶
独角虫,独角虫
铁壳昆,铁壳蛹
大针蜂,大针蜂
波波,波波
比比鸟,比比鸟
比雕,大比鸟
小拉达,小哥达
拉达,哥达
烈雀,鬼雀
大嘴雀,魔雀
阿柏蛇,阿柏蛇
阿柏怪,阿柏怪
皮卡丘,比卡超
雷丘,雷超
穿山鼠,穿山鼠
穿山王,穿山王
尼多兰,尼美兰
尼多娜,尼美萝
尼多后,尼美后
尼多朗,尼多郎
尼多力诺,尼多利
尼多王,尼多王
皮皮,皮皮
皮可西,皮可斯
六尾,六尾
九尾,九尾
胖丁,波波球
胖可丁,肥波球
超音蝠,波音蝠
大嘴蝠,大口蝠
走路草,行路草
臭臭花,怪味花
霸王花,霸王花
派拉斯,蘑菇虫
派拉斯特,巨菇虫
毛球,毛毛虫
末入蛾,魔鲁风
地鼠,地鼠
三地鼠,三头地鼠
喵喵,喵喵怪
猫老大,高窦猫
可达鸭,傻鸭
哥达鸭,高超鸭
猴怪,猴怪
火爆猴,火爆猴
卡蒂狗,护主犬
风速狗,奉神犬
蚊香蝌蚪,蚊香蝌蚪
蚊香蛙,蚊香蛙
快泳蛙,大力蛙
凯西,卡斯
勇吉拉,尤基纳
胡地,富迪
腕力,铁腕
豪力,大力
怪力,怪力
喇叭芽,喇叭芽
口呆花,口呆花
大食花,大食花
玛瑙水母,大眼水母
毒刺水母,多脚水母
小拳石,小拳石
隆隆石,滚动石
隆隆岩,滚动岩
小火马,小火马
烈焰马,烈焰马
呆呆兽,小呆兽
呆河马,大呆兽
小磁怪,小磁怪
三合一磁怪,三合一磁怪
大葱鸭,火葱鸭
嘟嘟,多多
嘟嘟利,多多利
小海狮,小海狮
白海狮,白海狮
臭泥,烂泥怪
臭臭泥,烂泥兽
大舌贝,贝壳怪
铁甲贝,铁甲贝
鬼斯,鬼斯
鬼斯通,鬼斯通
耿鬼,耿鬼
大岩蛇,大岩蛇
素利普,食梦兽
素利拍,催眠兽
大钳蟹,大钳蟹
巨钳蟹,巨钳蟹
雷电球,霹雳蛋
顽皮弹,雷霆蛋
蛋蛋,蛋蛋
椰蛋树,椰树兽
可拉可拉,卡拉卡拉
嘎拉嘎拉,格拉格拉
沙瓦郎,沙古拉
艾比郎,比华拉
大舌头,大舌头
瓦斯弹,毒气丸
双弹瓦斯,毒气双子
铁甲犀牛,铁甲犀牛
铁甲暴龙,铁甲暴龙
吉利蛋,吉利蛋
蔓藤怪,长藤怪
袋龙,袋兽
墨海马,喷墨海马
海刺龙,飞刺海马
角金鱼,独角金鱼
金鱼王,金鱼王
海星星,海星星
宝石海星,宝石海星
吸盘魔偶,吸盘小丑
飞天螳螂,飞天螳螂
迷唇姐,红唇娃
电击兽,电击兽
鸭嘴火龙,鸭嘴火龙
大甲,钳刀甲虫
肯泰罗,大只牛
鲤鱼王,鲤鱼王
暴鲤龙,鲤鱼龙
乘龙,背背龙
百变怪,百变怪
伊布,伊贝
水精灵,水伊贝
雷精灵,雷伊贝
火精灵,火伊贝
3D龙,立方兽
菊石兽,菊石兽
多刺菊石兽,多刺菊石兽
化石盔,万年虫
镰刀盔,镰刀虫
化石翼龙,化石飞龙
卡比兽,卡比兽
急冻鸟,急冻鸟
闪电鸟,雷鸟
火焰鸟,火鸟
迷你龙,迷你龙
哈克龙,哈古龙
快龙,启暴龙
超梦,超梦梦
梦幻,梦梦
菊草叶,菊草叶
月桂叶,月桂叶
大菊花,大菊花
火球鼠,火球鼠
火岩鼠,火岩鼠
火暴兽,火暴兽
小锯鳄,小锯鳄
蓝鳄,蓝鳄
大力鳄,大力鳄
尾立,尾立
大尾立,大尾立
咕咕,咕咕
猫头夜鹰,猫头夜鹰
芭瓢虫,芭瓢虫
安瓢虫,安瓢虫
线球,线球
阿利多斯,阿利多斯
叉字蝠,叉字蝠
灯笼鱼,灯笼鱼
电灯怪,电灯怪
皮丘,比超
皮宝宝,皮宝宝
宝宝丁,小波球
波克比,小刺蛋
波克基古,波克基古
天然雀,天然雀
天然鸟,天然鸟
咩利羊,咩利羊
绵绵,绵绵
电龙,电龙
美丽花,美丽花
玛力露,马利露
玛力露丽,马利露丽
胡说树,胡说树
牛蛙君,牛蛙君
毽子草,毽子草
毽子花,毽子花
毽子绵,毽子绵
长尾怪手,长尾怪手
向日种子,向日种子
向日花怪,向日花怪
阳阳玛,阳阳玛
乌波,乌波
沼王,沼王
太阳精灵,太阳伊贝
月精灵,月伊贝
黑暗鸦,黑暗鸦
河马王,河马王
梦妖,梦妖
未知图腾,未知图腾
果然翁,果然翁
麒麟奇,麒麟奇
榛果球,榛果球
佛烈托斯,佛烈托斯
土龙弟弟,土龙弟弟
天蝎,天蝎
大钢蛇,大钢蛇
布卢,布鲁
布卢皇,布鲁皇
千针鱼,千针鱼
巨钳螳螂,巨钳螳螂
壶壶,壶壶
赫拉克罗斯,赫拉克罗斯
狃拉,狃拉
熊宝宝,熊宝宝
圈圈熊,圈圈熊
熔岩虫,熔岩虫
熔岩蜗牛,熔岩蜗牛
小山猪,小山猪
长毛猪,长毛猪
太阳珊瑚,太阳珊瑚
铁炮鱼,铁炮鱼
章鱼桶,章鱼桶
信使鸟,信使鸟
巨翅飞鱼,巨翅飞鱼
盔甲鸟,盔甲鸟
戴鲁比,戴鲁比
黑鲁加,黑鲁加
刺龙王,鱼龙王
小小象,小小象
顿甲,冬凡
3D龙II,立方兽II
惊角鹿,惊角鹿
图图犬,图图犬
巴尔郎,巴尔郎
柯波朗,柯波朗
迷唇娃,迷唇娃
电击怪,电击怪
小鸭嘴龙,小鸭嘴龙
大奶罐,大奶罐
幸福蛋,幸福蛋
雷公,雷公
炎帝,炎帝
水君,水君
由基拉,由基拉
沙基拉,沙基拉
班吉拉,班吉拉
洛奇亚,利基亚
凤王,凤凰
雪拉比,雪拉比
木守宫,木守宫
森林蜥蜴,森林蜥蜴
蜥蜴王,蜥蜴王
火稚鸡,火稚鸡
力壮鸡,力壮鸡
火焰鸡,火焰鸡
水跃鱼,水跃鱼
沼跃鱼,沼跃鱼
巨沼怪,巨沼怪
土狼犬,土狼犬
大狼犬,大狼犬
蛇纹熊,蛇纹熊
直冲熊,直冲熊
刺尾虫,刺尾虫
甲壳蛹,甲壳蛹
狩猎凤蝶,狩猎凤蝶
盾甲茧,盾甲茧
毒粉蝶,毒粉蝶
莲叶童子,莲叶童子
莲帽小童,莲帽小童
乐天河童,乐天河童
橡实果,橡实果
长鼻叶,长鼻叶
狡猾天狗,狡猾天狗
傲骨燕,傲骨燕
大王燕,大王燕
长翅鸥,长翅鸥
大嘴鸥,大嘴鸥
拉鲁拉丝,拉鲁拉丝
奇鲁莉安,奇鲁莉安
沙奈朵,沙奈朵
溜溜糖球,溜溜糖球
雨翅蛾,雨翅蛾
蘑蘑菇,蘑蘑菇
斗笠菇,斗笠菇
懒人翁,懒人翁
过动猿,过动猿
请假王,请假王
土居忍士,土居忍士
铁面忍者,铁面忍者
脱壳忍者,脱壳忍者
咕妞妞,咕妞妞
吼爆弹,吼爆弹
爆音怪,爆音怪
幕下力士,幕下力士
超力王,超力王
露力丽,露力丽
朝北鼻,朝北鼻
向尾喵,向尾喵
优雅猫,优雅猫
勾魂眼,勾魂眼
大嘴娃,大嘴娃
可可多拉,可可多拉
可多拉,可多拉
波士可多拉,波士可多拉
玛沙那,玛沙那
恰雷姆,恰雷姆
落雷兽,落雷兽
雷电兽,雷电兽
正电拍拍,正电拍拍
负电拍拍,负电拍拍
电萤虫,电萤虫
甜甜萤,甜甜萤
毒蔷薇,毒蔷薇
溶食兽,溶食兽
吞食兽,吞食兽
利牙鱼,利牙鱼
巨牙鲨,巨牙鲨
吼吼鲸,吼吼鲸
吼鲸王,吼鲸王
呆火驼,呆火驼
喷火驼,喷火驼
煤炭龟,煤炭龟
跳跳猪,跳跳猪
噗噗猪,噗噗猪
晃晃斑,晃晃斑
大颚蚁,大颚蚁
超音波幼虫,超音波幼虫
